Date,Dubai Crude Oil Price
31/1/2015,45.57
28/2/2015,55.44
31/3/2015,54.66
30/4/2015,58.55
31/5/2015,63.56
30/6/2015,61.79
31/7/2015,56.17
31/8/2015,52.71
30/9/2015,45.38
31/10/2015,45.84
30/11/2015,41.69
31/12/2015,34.59
31/1/2016,26.81
29/2/2016,29.3
31/3/2016,35.14
30/4/2016,39.03
31/5/2016,44.27
30/6/2016,46.26
31/7/2016,42.51
31/8/2016,43.7
30/9/2016,43.4
31/10/2016,44.92
30/11/2016,43.87
31/12/2016,52.1
31/1/2017,53.72
28/2/2017,54.44
31/3/2017,51.2
30/4/2017,52.29
31/5/2017,50.54
30/6/2017,46.47
31/7/2017,47.57
31/8/2017,50.22
30/9/2017,53.67
31/10/2017,55.55
30/11/2017,60.82
31/12/2017,61.6
31/1/2018,66.19
28/2/2018,62.72
31/3/2018,62.74
30/4/2018,68.27
31/5/2018,74.41
30/6/2018,73.59
31/7/2018,73.12
31/8/2018,72.49
30/9/2018,77.25
31/10/2018,79.39
30/11/2018,65.56
31/12/2018,57.32
31/1/2019,59.08
28/2/2019,64.57
31/3/2019,66.93
30/4/2019,70.95
31/5/2019,69.38
30/6/2019,61.73
31/7/2019,63.25
31/8/2019,59.11
30/9/2019,61.12
31/10/2019,59.37
30/11/2019,61.97
31/12/2019,64.89
31/1/2020,64.29
29/2/2020,54.22
31/3/2020,33.7
30/4/2020,20.39
31/5/2020,30.51
30/6/2020,40.79
31/7/2020,42.54
31/8/2020,43.99
30/9/2020,41.49
31/10/2020,40.66
30/11/2020,43.39
31/12/2020,49.81
31/1/2021,54.76
28/2/2021,60.85
31/3/2021,64.41
30/4/2021,62.89
31/5/2021,66.28
30/6/2021,71.57
31/7/2021,72.9
31/8/2021,69.48
30/9/2021,72.61
31/10/2021,81.58
30/11/2021,80.28
31/12/2021,73.19
