Date,Dubai Crude Oil Price,,,,
31/12/2021,73.19,,,,
30/11/2021,80.28,,,,
31/10/2021,81.58,,,,
30/09/2021,72.61,,,,
31/08/2021,69.48,,,,
31/07/2021,72.9,,,,
30/06/2021,71.57,,,,
31/05/2021,66.28,,,,
30/04/2021,62.89,,,,
31/03/2021,64.41,,,,
28/02/2021,60.85,,,,
31/01/2021,54.76,,,,
31/12/2020,49.81,,,,
30/11/2020,43.39,,,,
31/10/2020,40.66,,,,
30/09/2020,41.49,,,,
31/08/2020,43.99,,,,
31/07/2020,42.54,,,,
30/06/2020,40.79,,,,
31/05/2020,30.51,,,,
30/04/2020,20.39,,,,
31/03/2020,33.7,,,,
29/02/2020,54.22,,,,
31/01/2020,64.29,,,,
31/12/2019,64.89,,,,
30/11/2019,61.97,,,,
31/10/2019,59.37,,,,
30/09/2019,61.12,,,,
31/08/2019,59.11,,,,
31/07/2019,63.25,,,,
30/06/2019,61.73,,,,
31/05/2019,69.38,,,,
30/04/2019,70.95,,,,
31/03/2019,66.93,,,,
28/02/2019,64.57,,,,
31/01/2019,59.08,,,,
31/12/2018,57.32,,,,
30/11/2018,65.56,,,,
31/10/2018,79.39,,,,
30/09/2018,77.25,,,,
31/08/2018,72.49,,,,
31/07/2018,73.12,,,,
30/06/2018,73.59,,,,
31/05/2018,74.41,,,,
30/04/2018,68.27,,,,
31/03/2018,62.74,,,,
28/02/2018,62.72,,,,
31/01/2018,66.19,,,,
31/12/2017,61.6,,,,
30/11/2017,60.82,,,,
31/10/2017,55.55,,,,
30/09/2017,53.67,,,,
31/08/2017,50.22,,,,
31/07/2017,47.57,,,,
30/06/2017,46.47,,,,
31/05/2017,50.54,,,,
30/04/2017,52.29,,,,
31/03/2017,51.2,,,,
28/02/2017,54.44,,,,
31/01/2017,53.72,,,,
31/12/2016,52.1,,,,
30/11/2016,43.87,,,,
31/10/2016,44.92,,,,
30/09/2016,43.4,,,,
31/08/2016,43.7,,,,
31/07/2016,42.51,,,,
30/06/2016,46.26,,,,
31/05/2016,44.27,,,,
30/04/2016,39.03,,,,
31/03/2016,35.14,,,,
29/02/2016,29.3,,,,
31/01/2016,26.81,,,,
31/12/2015,34.59,,,,
30/11/2015,41.69,,,,
31/10/2015,45.84,,,,
30/09/2015,45.38,,,,
31/08/2015,52.71,,,,
31/07/2015,56.17,,,,
30/06/2015,61.79,,,,
31/05/2015,63.56,,,,
30/04/2015,58.55,,,,
31/03/2015,54.66,,,,
28/02/2015,55.44,,,,
31/01/2015,45.57,,,,
