date,NGV 1 kg.
31/1/2003,7.8
28/2/2003,7.91
31/3/2003,7.87
30/4/2003,7.78
31/5/2003,7.38
30/6/2003,6.73
31/7/2003,6.83
31/8/2003,7.14
30/9/2003,7.14
31/10/2003,7.21
30/11/2003,7.37
31/12/2003,7.54
31/1/2004,7.62
29/2/2004,7.64
31/3/2004,7.64
30/4/2004,7.64
31/5/2004,7.64
30/6/2004,7.64
31/7/2004,7.64
31/8/2004,7.64
30/9/2004,7.64
31/10/2004,7.64
30/11/2004,7.64
31/12/2004,7.64
31/1/2005,7.64
28/2/2005,7.72
31/3/2005,8.42
30/4/2005,9.53
31/5/2005,9.03
30/6/2005,8.5
31/7/2005,8.5
31/8/2005,8.5
30/9/2005,8.5
31/10/2005,8.5
30/11/2005,8.5
31/12/2005,8.5
31/1/2006,8.5
28/2/2006,8.5
31/3/2006,8.5
30/4/2006,8.5
31/5/2006,8.5
30/6/2006,8.5
31/7/2006,8.5
31/8/2006,8.5
30/9/2006,8.5
31/10/2006,8.5
30/11/2006,8.5
31/12/2006,8.5
31/1/2007,8.5
28/2/2007,8.5
31/3/2007,8.5
30/4/2007,8.5
31/5/2007,8.5
30/6/2007,8.5
31/7/2007,8.5
31/8/2007,8.5
30/9/2007,8.5
31/10/2007,8.5
30/11/2007,8.5
31/12/2007,8.5
31/1/2008,8.5
29/2/2008,8.5
31/3/2008,8.5
30/4/2008,8.5
31/5/2008,8.5
30/6/2008,8.5
31/7/2008,8.5
31/8/2008,8.5
30/9/2008,8.5
31/10/2008,8.5
30/11/2008,8.5
31/12/2008,8.5
31/1/2009,8.5
28/2/2009,8.5
31/3/2009,8.5
30/4/2009,8.5
31/5/2009,8.5
30/6/2009,8.5
31/7/2009,8.5
31/8/2009,8.5
30/9/2009,8.5
31/10/2009,8.5
30/11/2009,8.5
31/12/2009,8.5
31/1/2010,8.5
28/2/2010,8.5
31/3/2010,8.5
30/4/2010,8.5
31/5/2010,8.5
30/6/2010,8.5
31/7/2010,8.5
31/8/2010,8.5
30/9/2010,8.5
31/10/2010,8.5
30/11/2010,8.5
31/12/2010,8.5
31/1/2011,8.5
28/2/2011,8.5
31/3/2011,8.5
30/4/2011,8.5
31/5/2011,8.5
30/6/2011,8.5
31/7/2011,8.5
31/8/2011,8.5
30/9/2011,8.5
31/10/2011,8.5
30/11/2011,8.5
31/12/2011,8.5
31/1/2012,8.76
29/2/2012,9.24
31/3/2012,9.76
30/4/2012,10.25
31/5/2012,10.5
30/6/2012,10.5
31/7/2012,10.5
31/8/2012,10.5
30/9/2012,10.5
31/10/2012,10.5
30/11/2012,10.5
31/12/2012,10.5
31/1/2013,10.5
28/2/2013,10.5
31/3/2013,10.5
30/4/2013,10.5
31/5/2013,10.5
30/6/2013,10.5
31/7/2013,10.5
31/8/2013,10.5
30/9/2013,10.5
31/10/2013,10.5
30/11/2013,10.5
31/12/2013,10.5
31/1/2014,10.5
28/2/2014,10.5
31/3/2014,10.5
30/4/2014,10.5
31/5/2014,10.5
30/6/2014,10.5
31/7/2014,10.5
31/8/2014,10.5
30/9/2014,10.5
31/10/2014,11.5
30/11/2014,11.5
31/12/2014,12.44
31/1/2015,12.52
28/2/2015,13
31/3/2015,13
30/4/2015,13
31/5/2015,13
30/6/2015,13
31/7/2015,13
31/8/2015,13
30/9/2015,13.38
31/10/2015,13.5
30/11/2015,13.5
31/12/2015,13.5
31/1/2016,13.5
29/2/2016,13.5
31/3/2016,13.48
30/4/2016,13.4
31/5/2016,12.98
30/6/2016,12.59
31/7/2016,12.54
31/8/2016,12.45
30/9/2016,12.42
31/10/2016,12.47
30/11/2016,12.18
31/12/2016,12.23
31/1/2017,12.55
28/2/2017,12.59
31/3/2017,12.93
30/4/2017,13.06
31/5/2017,12.99
30/6/2017,13.04
31/7/2017,13.21
31/8/2017,13.28
30/9/2017,13.33
31/10/2017,13.53
30/11/2017,13.53
31/12/2017,13.39
31/1/2018,13.33
28/2/2018,13.51
31/3/2018,13.64
30/4/2018,13.57
31/5/2018,13.86
30/6/2018,14.1
31/7/2018,14.18
31/8/2018,14.44
30/9/2018,14.86
31/10/2018,15.44
30/11/2018,15.93
31/12/2018,16.09
31/1/2019,16.07
28/2/2019,16.24
31/3/2019,16.33
30/4/2019,16.12
31/5/2019,15.97
30/6/2019,15.91
31/7/2019,15.86
31/8/2019,15.75
30/9/2019,15.58
31/10/2019,15.61
30/11/2019,15.67
31/12/2019,15.62
31/1/2020,15.48
29/2/2020,15.33
31/3/2020,15.31
30/4/2020,15.31
31/5/2020,15.31
30/6/2020,15.31
31/7/2020,15.31
31/8/2020,14.85
30/9/2020,14.29
31/10/2020,13.95
30/11/2020,13.44
31/12/2020,13.11
31/1/2021,13.24
28/2/2021,13.4
31/3/2021,13.44
30/4/2021,13.46
31/5/2021,13.75
30/6/2021,14.15
31/7/2021,14.43
31/8/2021,15.03
30/9/2021,15.64
31/10/2021,15.69
30/11/2021,15.59
31/12/2021,15.59
