month,date,demand
Jan,31/1/2015,"1,326,027"
Feb,28/2/2015,"1,360,345"
Mar,31/3/2015,"1,317,603"
Apr,30/4/2015,"1,298,287"
May,31/5/2015,"1,333,018"
Jun,30/6/2015,"1,341,651"
Jul,31/7/2015,"1,347,993"
Aug,31/8/2015,"1,330,170"
Sep,30/9/2015,"1,330,064"
Oct,31/10/2015,"1,332,927"
Nov,30/11/2015,"1,354,506"
Dec,31/12/2015,"1,385,927"
Jan,31/1/2016,"1,347,793"
Feb,29/2/2016,"1,349,592"
Mar,31/3/2016,"1,354,996"
Apr,30/4/2016,"1,300,433"
May,31/5/2016,"1,323,153"
Jun,30/6/2016,"1,289,612"
Jul,31/7/2016,"1,283,270"
Aug,31/8/2016,"1,345,809"
Sep,30/9/2016,"1,305,739"
Oct,31/10/2016,"1,289,793"
Nov,30/11/2016,"1,382,117"
Dec,31/12/2016,"1,439,535"
Jan,31/1/2017,"1,351,474"
Feb,28/2/2017,"1,338,612"
Mar,31/3/2017,"1,349,989"
Apr,30/4/2017,"1,320,011"
May,31/5/2017,"1,360,733"
Jun,30/6/2017,"1,384,988"
Jul,31/7/2017,"1,306,928"
Aug,31/8/2017,"1,379,169"
Sep,30/9/2017,"1,407,015"
Oct,31/10/2017,"1,411,241"
Nov,30/11/2017,"1,453,586"
Dec,31/12/2017,"1,475,949"
Jan,31/1/2018,"1,434,999"
Feb,28/2/2018,"1,444,219"
Mar,31/3/2018,"1,481,531"
Apr,30/4/2018,"1,409,106"
May,31/5/2018,"1,385,859"
Jun,30/6/2018,"1,374,294"
Jul,31/7/2018,"1,360,616"
Aug,31/8/2018,"1,454,143"
Sep,30/9/2018,"1,367,494"
Oct,31/10/2018,"1,416,880"
Nov,30/11/2018,"1,470,564"
Dec,31/12/2018,"1,513,433"
Jan,31/1/2019,"1,398,360"
Feb,28/2/2019,"1,489,076"
Mar,31/3/2019,"1,434,473"
Apr,30/4/2019,"1,397,670"
May,31/5/2019,"1,366,479"
Jun,30/6/2019,"1,354,766"
Jul,31/7/2019,"1,361,364"
Aug,31/8/2019,"1,340,006"
Sep,30/9/2019,"1,331,610"
Oct,31/10/2019,"1,330,031"
Nov,30/11/2019,"1,360,546"
Dec,31/12/2019,"1,521,332"
Jan,31/1/2020,"1,345,045"
Feb,29/2/2020,"1,333,607"
Mar,31/3/2020,"1,331,847"
Apr,30/4/2020,"1,200,258"
May,31/5/2020,"1,310,707"
Jun,30/6/2020,"1,261,831"
Jul,31/7/2020,"1,260,988"
Aug,31/8/2020,"1,268,045"
Sep,30/9/2020,"1,314,525"
Oct,31/10/2020,"1,213,323"
Nov,30/11/2020,"1,232,628"
Dec,31/12/2020,"1,320,370"
Jan,31/1/2021,"1,209,330"
Feb,28/2/2021,"1,345,777"
Mar,31/3/2021,"1,365,021"
Apr,30/4/2021,"1,287,645"
May,31/5/2021,"1,293,090"
Jun,30/6/2021,"1,298,908"
Jul,31/7/2021,"1,212,576"
Aug,31/8/2021,"1,262,866"
Sep,30/9/2021,"1,232,579"
Oct,31/10/2021,"1,301,382"
Nov,30/11/2021,"1,422,790"
Dec,31/12/2021,"1,426,432"
