year,inflation
31-12-91,8.03
31-12-92,7.83
31-12-93,7.84
31-12-94,7.39
31-12-95,7.57
31-12-96,8.6
31-12-97,9.48
31-12-98,9.15
31-12-99,8.96
31-12-00,12.93
31-12-01,13.43
31-12-02,13.12
31-12-03,14.03
31-12-04,14.59
31-12-05,20.01
31-12-06,25.56
31-12-07,25.66
31-12-08,31.16
31-12-09,24.77
31-12-10,28.59
31-12-11,29.44
31-12-12,30.41
31-12-13,29.97
31-12-14,29.73
31-12-15,24.87
31-12-16,23.25
31-12-17,25.63
31-12-18,28.35
31-12-19,26.46
31-12-20,22.56
31-12-21,27.97
